,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
258,2023-01-31,2330,79212272,41736937234,537.0,538.0,521.0,522.0,-21.0,74279
259,2023-02-01,2330,42539626,22450948467,532.0,533.0,522.0,530.0,8.0,31487
260,2023-02-02,2330,46523592,25091483557,538.0,542.0,537.0,540.0,10.0,45495
261,2023-02-03,2330,34156234,18439613447,540.0,542.0,536.0,542.0,2.0,39674
262,2023-02-06,2330,32208918,17041821849,532.0,533.0,526.0,526.0,-16.0,46279
263,2023-02-07,2330,24362116,12767910080,524.0,528.0,522.0,523.0,-3.0,28519
264,2023-02-08,2330,37633169,20247927642,538.0,540.0,534.0,540.0,17.0,43495
265,2023-02-09,2330,22311345,12026317167,540.0,540.0,536.0,540.0,0.0,19698
266,2023-02-10,2330,30445088,16545221176,544.0,546.0,541.0,545.0,5.0,40984
267,2023-02-13,2330,23903151,12921896752,544.0,544.0,538.0,541.0,-4.0,22431
268,2023-02-14,2330,23855974,12990943260,544.0,546.0,543.0,545.0,4.0,27983
269,2023-02-15,2330,66068713,34751111404,526.0,532.0,522.0,525.0,-20.0,103433
270,2023-02-16,2330,33509968,17692691883,528.0,531.0,524.0,528.0,3.0,27033
271,2023-02-17,2330,29673053,15385668299,524.0,524.0,516.0,518.0,-10.0,55965
272,2023-02-20,2330,21181235,10928087780,514.0,519.0,511.0,517.0,-1.0,25898
273,2023-02-21,2330,15097509,7771141142,515.0,517.0,513.0,516.0,-1.0,27200
274,2023-02-22,2330,26578867,13474662693,506.0,509.0,505.0,507.0,-9.0,47843
275,2023-02-23,2330,26801677,13846782345,512.0,521.0,510.0,518.0,11.0,26552
276,2023-02-24,2330,48372303,24932422713,524.0,525.0,511.0,511.0,-7.0,29612
277,2023-03-01,2330,45971058,23624972884,504.0,522.0,504.0,522.0,11.0,31738
278,2023-03-02,2330,18017085,9344352321,519.0,520.0,515.0,519.0,-3.0,14320
279,2023-03-03,2330,24117189,12510608773,524.0,525.0,516.0,516.0,-3.0,22160
280,2023-03-06,2330,24741125,12883854256,520.0,524.0,517.0,521.0,5.0,20678
281,2023-03-07,2330,27650283,14465320023,521.0,526.0,519.0,524.0,3.0,20595
282,2023-03-08,2330,27077587,14091713576,521.0,523.0,518.0,521.0,-3.0,20504
283,2023-03-09,2330,25639391,13430582677,525.0,526.0,522.0,522.0,1.0,16497
284,2023-03-10,2330,25572403,13122265260,515.0,516.0,511.0,513.0,-9.0,46216
285,2023-03-13,2330,22568740,11608973891,513.0,518.0,509.0,516.0,3.0,24150
286,2023-03-14,2330,26599476,13602260966,511.0,514.0,510.0,510.0,-6.0,24848
287,2023-03-15,2330,24080361,12350942139,515.0,516.0,510.0,511.0,1.0,21075
288,2023-03-16,2330,23325664,11809911840,505.0,510.0,504.0,505.0,0.0,33493
289,2023-03-17,2330,35872881,18538033584,516.0,518.0,513.0,518.0,13.0,21217
290,2023-03-20,2330,12752221,6542889562,517.0,518.0,510.0,512.0,-6.0,17709
291,2023-03-21,2330,18519120,9534730452,515.0,517.0,512.0,517.0,5.0,14094
292,2023-03-22,2330,45681056,24168561556,524.0,533.0,524.0,533.0,16.0,56483
293,2023-03-23,2330,28614856,15307492846,528.0,539.0,528.0,538.0,5.0,35313
294,2023-03-24,2330,22963771,12348311773,536.0,539.0,535.0,539.0,1.0,24762
295,2023-03-27,2330,17170557,9148085033,533.0,536.0,531.0,531.0,-8.0,17484
296,2023-03-28,2330,18327556,9629323504,525.0,530.0,524.0,525.0,-6.0,20744
297,2023-03-29,2330,17620195,9329137251,533.0,533.0,525.0,530.0,5.0,15653
298,2023-03-30,2330,20380650,10894446851,536.0,537.0,531.0,535.0,5.0,18171
299,2023-03-31,2330,24324776,12997575231,538.0,538.0,532.0,533.0,-2.0,15962
300,2023-04-06,2330,26706549,14130223516,530.0,531.0,526.0,530.0,-3.0,19144
301,2023-04-07,2330,11114272,5903807797,535.0,535.0,529.0,531.0,1.0,10285
302,2023-04-10,2330,8203168,4350907176,533.0,533.0,528.0,529.0,-2.0,11698
303,2023-04-11,2330,23087326,12101146147,522.0,527.0,522.0,524.0,-5.0,24432
304,2023-04-12,2330,24772925,12870788209,523.0,524.0,517.0,520.0,-4.0,37158
305,2023-04-13,2330,27501436,14121978133,515.0,517.0,510.0,510.0,-10.0,64834
306,2023-04-14,2330,21174653,10936462759,516.0,520.0,513.0,516.0,6.0,19962
307,2023-04-17,2330,17895837,9264789087,519.0,520.0,514.0,520.0,4.0,17444
308,2023-04-18,2330,15687059,8097905529,518.0,520.0,514.0,515.0,-5.0,17087
